ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.61.169.67","elite","AS41327","IT","FIBERTELECOM","39","N/A","4145","socks4","4274","1","2025-04-30T15:33:08.953Z","100","2611","2619"
"116.8.109.106","elite","AS137693","CN","CHINATELECOM Guangxi Nanning IDC networkdescr: Nanning, Guangxi Province, P.R.","271","Chinanet GX","33080","socks4","4709","1","2025-04-30T15:33:08.956Z","73","7041","9610"
"203.24.109.80","elite","AS209242","BZ","Cloudflare London, LLC","9","Umpire Associates LTD","80","socks5","4690","1","2025-04-30T15:33:08.959Z","100","9560","9560"
"101.109.252.86","elite","AS23969","TH","TOT Public Company Limited","197","Addresses for","4145","socks4","3906","1","2025-04-30T15:32:39.033Z","71","6869","9653"
"217.160.133.98","elite","AS8560","FR","IONOS SE","11","More A0506","55996","socks4","1403","1","2025-04-30T15:32:39.060Z","100","2861","2861"
"200.125.40.38","elite","AS6057","UY","Administracion Nacional de Telecomunicaciones","228","Administracion Nacional de Telecomunicaciones","5678","socks4","4000","1","2025-04-30T15:32:39.031Z","98","770","789"
"110.73.11.181","elite","AS4837","CN","China Unicom Guangxi Province Network","171","N/A","8123","socks4","4793","1","2025-04-30T15:32:39.056Z","51","4873","9582"
"103.31.84.122","elite","AS7642","MV","Dhiraagu Pvt.Ltd","144","Dhivehi Raajjeyge Gulhun Plc","1080","socks4","4700","1","2025-04-30T15:32:39.059Z","99","9656","9714"
"223.27.210.77","elite","AS38794","TH","United Information Highway Co., Ltd.","179","United Information Highway Co., Ltd","8080","socks4","4670","1","2025-04-30T15:32:39.035Z","100","1023","1027"
"101.51.105.124","elite","AS23969","TH","TOT Public Company Limited","198","TOT Public Company Limited","4145","socks4","3193","1","2025-04-30T15:32:39.057Z","54","5164","9638"
"83.143.24.29","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","190","Vbn Core","5678","socks4","4600","1","2025-04-30T15:32:39.040Z","99","9425","9522"
"167.172.86.46","elite","AS14061","SG","DigitalOcean, LLC","178","DigitalOcean, LLC","10471","socks4","3008","69","2025-04-30T15:32:39.038Z","97","2310","2370"
"110.78.186.132","elite","AS131090","TH","CAT-BB","199","N/A","4145","socks4","3609","1","2025-04-30T15:32:39.039Z","67","6365","9525"
"103.70.159.131","elite","AS138738","IN","speednet","143","N/A","5678","socks4","1785","1","2025-04-30T15:32:39.033Z","99","9524","9625"
"213.142.156.132","elite","AS207459","TR","Teknosos Bilisim Hizmetleri VE Tic. Ltd. Sti.","38","Teknosos Bilisim Hizmetleri VE Tic. Ltd. STI","7030","socks4","2603","82","2025-04-30T15:32:39.056Z","99","415","421"
"57.128.163.242","elite","AS16276","GB","OVH SAS","20","OVH Ltd","8080","socks4","4430","1","2025-04-30T15:32:39.061Z","91","2103","2316"
"184.168.121.153","elite","AS26496","JP","GoDaddy.com, LLC","236","GoDaddy.com, LLC","62105","socks4","4287","1","2025-04-30T15:32:39.037Z","59","384","654"
"107.180.103.214","elite","AS398101","US","GoDaddy.com, LLC","146","GoDaddy.com, LLC","61634","socks4","4481","1","2025-04-30T15:32:39.057Z","100","2538","2543"
"207.180.198.241","elite","AS51167","FR","Contabo GmbH","7","Contabo GmbH","47936","socks4","2907","1","2025-04-30T15:32:39.059Z","100","295","295"
"43.152.112.135","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","326","Aceville Pte.ltd","19463","socks4","65","1","2025-04-30T15:32:39.039Z","99","2340","2363"
"5.189.140.102","elite","AS51167","FR","Contabo GmbH","7","Contabo GmbH","7497","socks5","5095","1","2025-04-30T15:32:39.060Z","99","9451","9541"
"168.205.217.13","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","189","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","348","1","2025-04-30T15:32:01.626Z","83","7937","9530"
"177.12.176.250","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","203","Linkli Telecomunicacoes Ltda","4153","socks4","2110","61","2025-04-30T15:32:01.636Z","100","9625","9652"
"102.69.146.181","elite","AS328451","NG","IP Express Ltd","155","N/A","5678","socks4","4391","1","2025-04-30T15:32:01.566Z","84","8069","9566"
"80.191.169.79","elite","AS58224","IR","Information Technology Company","105","Azad University of Anar","4145","socks4","1910","1","2025-04-30T15:32:01.634Z","89","8591","9635"
"46.4.75.218","elite","AS24940","DE","Hetzner Online GmbH","11","Hetzner","20000","socks4","3799","1","2025-04-30T15:32:01.557Z","100","1805","1805"
"103.247.120.36","elite","AS55666","ID","GMEDIA","178","N/A","10800","socks4","3968","1","2025-04-30T15:32:01.637Z","99","2220","2246"
"103.205.129.65","elite","AS134850","IN","WAY 2 INTERNET PRIVATE LIMITED","128","WAY 2 Internet Private Limited","4145","socks4","3712","1","2025-04-30T15:32:01.560Z","69","1552","2261"
"161.35.179.193","elite","AS14061","US","DigitalOcean, LLC","91","DigitalOcean, LLC","59761","socks5","1394","1","2025-04-30T15:32:01.637Z","100","9510","9543"
"150.220.8.228","elite","AS11427","US","Charter Communications","153","Spectrum","64312","socks4","3927","1","2025-04-30T15:32:01.631Z","99","2867","2882"
"171.248.106.215","elite","AS7552","VN","Viettel Corporation","231","VIETEL","5002","socks4","409","1","2025-04-30T15:32:01.562Z","86","2173","2513"
"27.72.73.143","elite","AS7552","VN","Newass2011xDSLHN","343","N/A","4153","socks4","4800","1","2025-04-30T15:31:44.350Z","78","2128","2716"
"177.38.5.224","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","196","Pontocom Fibra Optica Ltda","4153","socks4","3715","1","2025-04-30T15:31:44.359Z","86","8248","9577"
"194.59.170.116","elite","AS64458","IR","Mizban Dade Pasargad","191","Mizban Dade Pasargad LLC","1080","socks5","4903","1","2025-04-30T15:31:44.355Z","87","8345","9561"
"123.59.100.247","elite","AS23724","CN","CloudVsp.Inc","223","N/A","1080","socks4","817","1","2025-04-30T15:31:44.352Z","89","8580","9638"
